area,year,temp_change,co2
Australia,2014,1.139,393126.946994288
Australia,2013,1.45,396913.93653029
Australia,2012,0.273,406462.8477036
Australia,2011,0.176,403705.528313991
Australia,2010,0.644,406200.993184341
Australia,2009,0.968,408448.47899963
Australia,2008,0.553,404237.828214077
Australia,2007,0.864,398816.453543549
Australia,2006,0.643,391134.100909449
Australia,2005,1.144,385581.132806466
Australia,2004,0.671,381519.261592783
Australia,2003,0.79,368345.977425107
Australia,2002,0.706,361861.387896028
Australia,2001,0.32,357653.329899303
Australia,2000,0.122,349885.433108928
Australia,1999,0.542,343713.906947774
Australia,1998,1.022,334328.142646602
Australia,1997,0.317,320439.116819391
Australia,1996,0.522,311914.819824229
Australia,1995,0.347,305162.543548735
Australia,1994,0.166,293830.709141192
Australia,1993,0.415,289142.267681326
Australia,1992,0.215,284766.092717838
Australia,1991,0.778,279741.639011863
Australia,1990,0.495,278265.898940768
Austria,2014,2.404,64262.5639931315
Austria,2013,1.098,67957.1211123863
Austria,2012,1.788,67698.6586349119
Austria,2011,1.376,70327.1670444138
Austria,2010,0.664,72531.826129136
Austria,2009,1.55,67682.7251493548
Austria,2008,1.592,74066.2557920763
Austria,2007,2.15,74268.1107226333
Austria,2006,0.923,76934.9515340371
Austria,2005,0.641,79588.5018807541
Austria,2004,0.842,78388.9974250799
Austria,2003,1.469,78023.9538963192
Austria,2002,1.54,72126.5914446168
Austria,2001,1.507,70299.4711482287
Austria,2000,1.772,66274.7432545115
Austria,1999,0.987,65660.1336422327
Austria,1998,1.348,67047.2506680177
Austria,1997,0.519,67455.8927304212
Austria,1996,-0.195,67667.2626980903
Austria,1995,0.944,64202.1592201769
Austria,1994,1.965,61189.1025048542
Austria,1993,0.533,60790.7577213156
Austria,1992,1.256,60432.2493410185
Austria,1991,0.135,65903.513308256
Austria,1990,1.27,62297.1655681668
Australia,1997,0.317,705.228318135053
Bulgaria,2014,1.189,45139.955286201
Bulgaria,2013,1.438,42534.9272034699
Bulgaria,2012,1.634,48117.5560830313
Bulgaria,2011,0.368,53020.9811161954
Bulgaria,2010,1.304,47678.6489573594
Bulgaria,2009,1.247,45487.8735503956
Bulgaria,2008,1.141,53655.1401671903
Bulgaria,2007,1.834,55184.4241047849
Bulgaria,2006,0.52,51446.2829381283
Bulgaria,2005,0.167,50191.1160644292
Bulgaria,2004,0.489,49170.3376894348
Bulgaria,2003,0.156,49971.1515762142
Bulgaria,2002,0.833,45786.2947197982
Bulgaria,2001,1.63,48568.9178318705
Bulgaria,2000,1.179,44896.670545605
Bulgaria,1999,0.692,45751.789097251
Bulgaria,1998,0.779,52143.3567693638
Bulgaria,1997,-0.335,54790.1341566389
Bulgaria,1996,-0.353,57581.194759982
Bulgaria,1995,0.227,57221.6062924032
Bulgaria,1994,1.593,55649.0813153431
Bulgaria,1993,-0.312,57203.9355176784
Bulgaria,1992,0.146,56551.5935722778
Bulgaria,1991,-0.154,59769.3415026104
Bulgaria,1990,0.793,78197.8812570199
Canada,2014,0.273,574099.775511611
Canada,2013,1.186,573094.038846396
Canada,2012,2.14,563423.613154917
Canada,2011,1.444,558152.72293811
Canada,2010,2.917,555003.760260925
Canada,2009,0.544,542829.458896225
Canada,2008,0.853,577444.930222255
Canada,2007,1.332,596041.321973836
Canada,2006,2.353,573479.269701141
Canada,2005,1.298,579225.335719904
Canada,2004,0.51,585414.860574334
Canada,2003,1.256,587306.678537712
Canada,2002,0.556,569862.145645112
Canada,2001,1.432,564617.020300164
Canada,2000,1.299,572290.385518472
Canada,1999,1.708,550183.063388038
Canada,1998,2.476,533794.453645326
Canada,1997,0.422,525120.011175522
Canada,1996,-0.122,510619.682210148
Canada,1995,0.94,497224.83692526
Canada,1994,0.472,482691.671271798
Canada,1993,0.351,467607.237235461
